seed,epoch,block,level,accuracy
1,1,1,super,1.0
1,1,1,basic,0.9875
1,1,1,sub,0.7833333333333333
1,1,2,super,1.0
1,1,2,basic,0.9875
1,1,2,sub,0.8083333333333333
1,1,3,super,1.0
1,1,3,basic,0.9875
1,1,3,sub,0.8041666666666667
1,1,4,super,1.0
1,1,4,basic,0.9875
1,1,4,sub,0.8083333333333333
1,1,5,super,1.0
1,1,5,basic,0.9875
1,1,5,sub,0.8125
1,1,6,super,1.0
1,1,6,basic,0.9875
1,1,6,sub,0.8166666666666667
1,1,7,super,1.0
1,1,7,basic,0.9875
1,1,7,sub,0.8166666666666667
1,1,8,super,1.0
1,1,8,basic,0.9875
1,1,8,sub,0.8166666666666667
1,1,9,super,1.0
1,1,9,basic,0.9875
1,1,9,sub,0.8166666666666667
1,1,10,super,1.0
1,1,10,basic,0.9875
1,1,10,sub,0.8166666666666667
1,2,1,super,1.0
1,2,1,basic,0.9875
1,2,1,sub,0.7708333333333334
1,2,2,super,1.0
1,2,2,basic,0.9875
1,2,2,sub,0.7958333333333333
1,2,3,super,1.0
1,2,3,basic,0.9875
1,2,3,sub,0.8125
1,2,4,super,1.0
1,2,4,basic,0.9875
1,2,4,sub,0.8208333333333333
1,2,5,super,1.0
1,2,5,basic,0.9875
1,2,5,sub,0.8125
1,2,6,super,1.0
1,2,6,basic,0.9875
1,2,6,sub,0.8125
1,2,7,super,1.0
1,2,7,basic,0.9875
1,2,7,sub,0.8208333333333333
1,2,8,super,1.0
1,2,8,basic,0.9875
1,2,8,sub,0.8208333333333333
1,2,9,super,1.0
1,2,9,basic,0.9875
1,2,9,sub,0.8208333333333333
1,2,10,super,1.0
1,2,10,basic,0.9875
1,2,10,sub,0.8208333333333333
1,3,1,super,1.0
1,3,1,basic,0.9875
1,3,1,sub,0.7791666666666667
1,3,2,super,1.0
1,3,2,basic,0.9875
1,3,2,sub,0.8083333333333333
1,3,3,super,1.0
1,3,3,basic,0.9875
1,3,3,sub,0.8041666666666667
1,3,4,super,1.0
1,3,4,basic,0.9875
1,3,4,sub,0.8166666666666667
1,3,5,super,1.0
1,3,5,basic,0.9875
1,3,5,sub,0.8166666666666667
1,3,6,super,1.0
1,3,6,basic,0.9875
1,3,6,sub,0.8166666666666667
1,3,7,super,1.0
1,3,7,basic,0.9875
1,3,7,sub,0.8166666666666667
1,3,8,super,1.0
1,3,8,basic,0.9875
1,3,8,sub,0.8166666666666667
1,3,9,super,1.0
1,3,9,basic,0.9875
1,3,9,sub,0.8166666666666667
1,3,10,super,1.0
1,3,10,basic,0.9875
1,3,10,sub,0.8166666666666667
1,4,1,super,1.0
1,4,1,basic,0.9875
1,4,1,sub,0.775
1,4,2,super,1.0
1,4,2,basic,0.9875
1,4,2,sub,0.8041666666666667
1,4,3,super,1.0
1,4,3,basic,0.9875
1,4,3,sub,0.8166666666666667
1,4,4,super,1.0
1,4,4,basic,0.9875
1,4,4,sub,0.8166666666666667
1,4,5,super,1.0
1,4,5,basic,0.9875
1,4,5,sub,0.8166666666666667
1,4,6,super,1.0
1,4,6,basic,0.9875
1,4,6,sub,0.8166666666666667
1,4,7,super,1.0
1,4,7,basic,0.9875
1,4,7,sub,0.8166666666666667
1,4,8,super,1.0
1,4,8,basic,0.9875
1,4,8,sub,0.8166666666666667
1,4,9,super,1.0
1,4,9,basic,0.9875
1,4,9,sub,0.8166666666666667
1,4,10,super,1.0
1,4,10,basic,0.9875
1,4,10,sub,0.8166666666666667
32,1,1,super,1.0
32,1,1,basic,0.9958333333333333
32,1,1,sub,0.7208333333333333
32,1,2,super,1.0
32,1,2,basic,0.9958333333333333
32,1,2,sub,0.8083333333333333
32,1,3,super,1.0
32,1,3,basic,0.9958333333333333
32,1,3,sub,0.8125
32,1,4,super,1.0
32,1,4,basic,0.9958333333333333
32,1,4,sub,0.8125
32,1,5,super,1.0
32,1,5,basic,0.9958333333333333
32,1,5,sub,0.8125
32,1,6,super,1.0
32,1,6,basic,0.9958333333333333
32,1,6,sub,0.8125
32,1,7,super,1.0
32,1,7,basic,0.9958333333333333
32,1,7,sub,0.8041666666666667
32,1,8,super,1.0
32,1,8,basic,0.9958333333333333
32,1,8,sub,0.8041666666666667
32,1,9,super,1.0
32,1,9,basic,0.9958333333333333
32,1,9,sub,0.8041666666666667
32,1,10,super,1.0
32,1,10,basic,0.9958333333333333
32,1,10,sub,0.8041666666666667
32,2,1,super,1.0
32,2,1,basic,0.9958333333333333
32,2,1,sub,0.7625
32,2,2,super,1.0
32,2,2,basic,0.9958333333333333
32,2,2,sub,0.8125
32,2,3,super,1.0
32,2,3,basic,0.9958333333333333
32,2,3,sub,0.8125
32,2,4,super,1.0
32,2,4,basic,0.9958333333333333
32,2,4,sub,0.8125
32,2,5,super,1.0
32,2,5,basic,0.9958333333333333
32,2,5,sub,0.8125
32,2,6,super,1.0
32,2,6,basic,0.9958333333333333
32,2,6,sub,0.8083333333333333
32,2,7,super,1.0
32,2,7,basic,0.9958333333333333
32,2,7,sub,0.8083333333333333
32,2,8,super,1.0
32,2,8,basic,0.9958333333333333
32,2,8,sub,0.8083333333333333
32,2,9,super,1.0
32,2,9,basic,0.9958333333333333
32,2,9,sub,0.8083333333333333
32,2,10,super,1.0
32,2,10,basic,0.9958333333333333
32,2,10,sub,0.8083333333333333
32,3,1,super,1.0
32,3,1,basic,0.9958333333333333
32,3,1,sub,0.7416666666666667
32,3,2,super,1.0
32,3,2,basic,0.9958333333333333
32,3,2,sub,0.8083333333333333
32,3,3,super,1.0
32,3,3,basic,0.9958333333333333
32,3,3,sub,0.8166666666666667
32,3,4,super,1.0
32,3,4,basic,0.9958333333333333
32,3,4,sub,0.8125
32,3,5,super,1.0
32,3,5,basic,0.9958333333333333
32,3,5,sub,0.8125
32,3,6,super,1.0
32,3,6,basic,0.9958333333333333
32,3,6,sub,0.8125
32,3,7,super,1.0
32,3,7,basic,0.9958333333333333
32,3,7,sub,0.8041666666666667
32,3,8,super,1.0
32,3,8,basic,0.9958333333333333
32,3,8,sub,0.8041666666666667
32,3,9,super,1.0
32,3,9,basic,0.9958333333333333
32,3,9,sub,0.8041666666666667
32,3,10,super,1.0
32,3,10,basic,0.9958333333333333
32,3,10,sub,0.8041666666666667
32,4,1,super,1.0
32,4,1,basic,0.9958333333333333
32,4,1,sub,0.7541666666666667
32,4,2,super,1.0
32,4,2,basic,0.9958333333333333
32,4,2,sub,0.8
32,4,3,super,1.0
32,4,3,basic,0.9958333333333333
32,4,3,sub,0.8166666666666667
32,4,4,super,1.0
32,4,4,basic,0.9958333333333333
32,4,4,sub,0.8125
32,4,5,super,1.0
32,4,5,basic,0.9958333333333333
32,4,5,sub,0.8125
32,4,6,super,1.0
32,4,6,basic,0.9958333333333333
32,4,6,sub,0.8125
32,4,7,super,1.0
32,4,7,basic,0.9958333333333333
32,4,7,sub,0.8125
32,4,8,super,1.0
32,4,8,basic,0.9958333333333333
32,4,8,sub,0.8041666666666667
32,4,9,super,1.0
32,4,9,basic,0.9958333333333333
32,4,9,sub,0.8041666666666667
32,4,10,super,1.0
32,4,10,basic,0.9958333333333333
32,4,10,sub,0.8041666666666667
64,1,1,super,1.0
64,1,1,basic,0.9875
64,1,1,sub,0.825
64,1,2,super,1.0
64,1,2,basic,0.9875
64,1,2,sub,0.8458333333333333
64,1,3,super,1.0
64,1,3,basic,0.9875
64,1,3,sub,0.8458333333333333
64,1,4,super,1.0
64,1,4,basic,0.9875
64,1,4,sub,0.8458333333333333
64,1,5,super,1.0
64,1,5,basic,0.9875
64,1,5,sub,0.8458333333333333
64,1,6,super,1.0
64,1,6,basic,0.9875
64,1,6,sub,0.8458333333333333
64,1,7,super,1.0
64,1,7,basic,0.9875
64,1,7,sub,0.8458333333333333
64,1,8,super,1.0
64,1,8,basic,0.9875
64,1,8,sub,0.8458333333333333
64,1,9,super,1.0
64,1,9,basic,0.9875
64,1,9,sub,0.8458333333333333
64,1,10,super,1.0
64,1,10,basic,0.9875
64,1,10,sub,0.8458333333333333
64,2,1,super,1.0
64,2,1,basic,0.9875
64,2,1,sub,0.8333333333333334
64,2,2,super,1.0
64,2,2,basic,0.9875
64,2,2,sub,0.8458333333333333
64,2,3,super,1.0
64,2,3,basic,0.9875
64,2,3,sub,0.8458333333333333
64,2,4,super,1.0
64,2,4,basic,0.9875
64,2,4,sub,0.8458333333333333
64,2,5,super,1.0
64,2,5,basic,0.9875
64,2,5,sub,0.8458333333333333
64,2,6,super,1.0
64,2,6,basic,0.9875
64,2,6,sub,0.8458333333333333
64,2,7,super,1.0
64,2,7,basic,0.9875
64,2,7,sub,0.8458333333333333
64,2,8,super,1.0
64,2,8,basic,0.9875
64,2,8,sub,0.8458333333333333
64,2,9,super,1.0
64,2,9,basic,0.9875
64,2,9,sub,0.8458333333333333
64,2,10,super,1.0
64,2,10,basic,0.9875
64,2,10,sub,0.8458333333333333
64,3,1,super,1.0
64,3,1,basic,0.9875
64,3,1,sub,0.8208333333333333
64,3,2,super,1.0
64,3,2,basic,0.9875
64,3,2,sub,0.85
64,3,3,super,1.0
64,3,3,basic,0.9875
64,3,3,sub,0.8458333333333333
64,3,4,super,1.0
64,3,4,basic,0.9875
64,3,4,sub,0.8458333333333333
64,3,5,super,1.0
64,3,5,basic,0.9875
64,3,5,sub,0.8458333333333333
64,3,6,super,1.0
64,3,6,basic,0.9875
64,3,6,sub,0.8458333333333333
64,3,7,super,1.0
64,3,7,basic,0.9875
64,3,7,sub,0.8458333333333333
64,3,8,super,1.0
64,3,8,basic,0.9875
64,3,8,sub,0.8458333333333333
64,3,9,super,1.0
64,3,9,basic,0.9875
64,3,9,sub,0.8458333333333333
64,3,10,super,1.0
64,3,10,basic,0.9875
64,3,10,sub,0.8458333333333333
64,4,1,super,1.0
64,4,1,basic,0.9875
64,4,1,sub,0.8208333333333333
64,4,2,super,1.0
64,4,2,basic,0.9875
64,4,2,sub,0.8458333333333333
64,4,3,super,1.0
64,4,3,basic,0.9875
64,4,3,sub,0.8458333333333333
64,4,4,super,1.0
64,4,4,basic,0.9875
64,4,4,sub,0.8458333333333333
64,4,5,super,1.0
64,4,5,basic,0.9875
64,4,5,sub,0.8458333333333333
64,4,6,super,1.0
64,4,6,basic,0.9875
64,4,6,sub,0.8458333333333333
64,4,7,super,1.0
64,4,7,basic,0.9875
64,4,7,sub,0.8458333333333333
64,4,8,super,1.0
64,4,8,basic,0.9875
64,4,8,sub,0.8458333333333333
64,4,9,super,1.0
64,4,9,basic,0.9875
64,4,9,sub,0.8458333333333333
64,4,10,super,1.0
64,4,10,basic,0.9875
64,4,10,sub,0.8458333333333333
128,1,1,super,1.0
128,1,1,basic,0.975
128,1,1,sub,0.6916666666666667
128,1,2,super,1.0
128,1,2,basic,0.975
128,1,2,sub,0.7625
128,1,3,super,1.0
128,1,3,basic,0.975
128,1,3,sub,0.7625
128,1,4,super,1.0
128,1,4,basic,0.975
128,1,4,sub,0.7458333333333333
128,1,5,super,1.0
128,1,5,basic,0.975
128,1,5,sub,0.7458333333333333
128,1,6,super,1.0
128,1,6,basic,0.975
128,1,6,sub,0.7458333333333333
128,1,7,super,1.0
128,1,7,basic,0.975
128,1,7,sub,0.7458333333333333
128,1,8,super,1.0
128,1,8,basic,0.975
128,1,8,sub,0.7458333333333333
128,1,9,super,1.0
128,1,9,basic,0.975
128,1,9,sub,0.7458333333333333
128,1,10,super,1.0
128,1,10,basic,0.975
128,1,10,sub,0.7458333333333333
128,2,1,super,1.0
128,2,1,basic,0.975
128,2,1,sub,0.6833333333333333
128,2,2,super,1.0
128,2,2,basic,0.975
128,2,2,sub,0.7583333333333333
128,2,3,super,1.0
128,2,3,basic,0.975
128,2,3,sub,0.7625
128,2,4,super,1.0
128,2,4,basic,0.975
128,2,4,sub,0.7458333333333333
128,2,5,super,1.0
128,2,5,basic,0.975
128,2,5,sub,0.7458333333333333
128,2,6,super,1.0
128,2,6,basic,0.975
128,2,6,sub,0.7458333333333333
128,2,7,super,1.0
128,2,7,basic,0.975
128,2,7,sub,0.7458333333333333
128,2,8,super,1.0
128,2,8,basic,0.975
128,2,8,sub,0.7458333333333333
128,2,9,super,1.0
128,2,9,basic,0.975
128,2,9,sub,0.7458333333333333
128,2,10,super,1.0
128,2,10,basic,0.975
128,2,10,sub,0.7458333333333333
128,3,1,super,1.0
128,3,1,basic,0.975
128,3,1,sub,0.7166666666666667
128,3,2,super,1.0
128,3,2,basic,0.975
128,3,2,sub,0.7541666666666667
128,3,3,super,1.0
128,3,3,basic,0.975
128,3,3,sub,0.7458333333333333
128,3,4,super,1.0
128,3,4,basic,0.975
128,3,4,sub,0.7458333333333333
128,3,5,super,1.0
128,3,5,basic,0.975
128,3,5,sub,0.75
128,3,6,super,1.0
128,3,6,basic,0.975
128,3,6,sub,0.75
128,3,7,super,1.0
128,3,7,basic,0.975
128,3,7,sub,0.75
128,3,8,super,1.0
128,3,8,basic,0.975
128,3,8,sub,0.75
128,3,9,super,1.0
128,3,9,basic,0.975
128,3,9,sub,0.75
128,3,10,super,1.0
128,3,10,basic,0.975
128,3,10,sub,0.75
128,4,1,super,1.0
128,4,1,basic,0.975
128,4,1,sub,0.725
128,4,2,super,1.0
128,4,2,basic,0.975
128,4,2,sub,0.775
128,4,3,super,1.0
128,4,3,basic,0.975
128,4,3,sub,0.75
128,4,4,super,1.0
128,4,4,basic,0.975
128,4,4,sub,0.75
128,4,5,super,1.0
128,4,5,basic,0.975
128,4,5,sub,0.75
128,4,6,super,1.0
128,4,6,basic,0.975
128,4,6,sub,0.75
128,4,7,super,1.0
128,4,7,basic,0.975
128,4,7,sub,0.75
128,4,8,super,1.0
128,4,8,basic,0.975
128,4,8,sub,0.7541666666666667
128,4,9,super,1.0
128,4,9,basic,0.975
128,4,9,sub,0.7541666666666667
128,4,10,super,1.0
128,4,10,basic,0.975
128,4,10,sub,0.7541666666666667
356,1,1,super,1.0
356,1,1,basic,0.9875
356,1,1,sub,0.8125
356,1,2,super,1.0
356,1,2,basic,0.9875
356,1,2,sub,0.8375
356,1,3,super,1.0
356,1,3,basic,0.9875
356,1,3,sub,0.8375
356,1,4,super,1.0
356,1,4,basic,0.9875
356,1,4,sub,0.8375
356,1,5,super,1.0
356,1,5,basic,0.9875
356,1,5,sub,0.8375
356,1,6,super,1.0
356,1,6,basic,0.9875
356,1,6,sub,0.8375
356,1,7,super,1.0
356,1,7,basic,0.9875
356,1,7,sub,0.8375
356,1,8,super,1.0
356,1,8,basic,0.9875
356,1,8,sub,0.8375
356,1,9,super,1.0
356,1,9,basic,0.9875
356,1,9,sub,0.8375
356,1,10,super,1.0
356,1,10,basic,0.9875
356,1,10,sub,0.8375
356,2,1,super,1.0
356,2,1,basic,0.9875
356,2,1,sub,0.8125
356,2,2,super,1.0
356,2,2,basic,0.9875
356,2,2,sub,0.8375
356,2,3,super,1.0
356,2,3,basic,0.9875
356,2,3,sub,0.8375
356,2,4,super,1.0
356,2,4,basic,0.9875
356,2,4,sub,0.8375
356,2,5,super,1.0
356,2,5,basic,0.9875
356,2,5,sub,0.8375
356,2,6,super,1.0
356,2,6,basic,0.9875
356,2,6,sub,0.8375
356,2,7,super,1.0
356,2,7,basic,0.9875
356,2,7,sub,0.8375
356,2,8,super,1.0
356,2,8,basic,0.9875
356,2,8,sub,0.8375
356,2,9,super,1.0
356,2,9,basic,0.9875
356,2,9,sub,0.8375
356,2,10,super,1.0
356,2,10,basic,0.9875
356,2,10,sub,0.8375
356,3,1,super,1.0
356,3,1,basic,0.9875
356,3,1,sub,0.8333333333333334
356,3,2,super,1.0
356,3,2,basic,0.9875
356,3,2,sub,0.8375
356,3,3,super,1.0
356,3,3,basic,0.9875
356,3,3,sub,0.8375
356,3,4,super,1.0
356,3,4,basic,0.9875
356,3,4,sub,0.8375
356,3,5,super,1.0
356,3,5,basic,0.9875
356,3,5,sub,0.8375
356,3,6,super,1.0
356,3,6,basic,0.9875
356,3,6,sub,0.8375
356,3,7,super,1.0
356,3,7,basic,0.9875
356,3,7,sub,0.8375
356,3,8,super,1.0
356,3,8,basic,0.9875
356,3,8,sub,0.8375
356,3,9,super,1.0
356,3,9,basic,0.9875
356,3,9,sub,0.8375
356,3,10,super,1.0
356,3,10,basic,0.9875
356,3,10,sub,0.8375
356,4,1,super,1.0
356,4,1,basic,0.9875
356,4,1,sub,0.7708333333333334
356,4,2,super,1.0
356,4,2,basic,0.9875
356,4,2,sub,0.8333333333333334
356,4,3,super,1.0
356,4,3,basic,0.9875
356,4,3,sub,0.8333333333333334
356,4,4,super,1.0
356,4,4,basic,0.9875
356,4,4,sub,0.8333333333333334
356,4,5,super,1.0
356,4,5,basic,0.9875
356,4,5,sub,0.8333333333333334
356,4,6,super,1.0
356,4,6,basic,0.9875
356,4,6,sub,0.8375
356,4,7,super,1.0
356,4,7,basic,0.9875
356,4,7,sub,0.8375
356,4,8,super,1.0
356,4,8,basic,0.9875
356,4,8,sub,0.8375
356,4,9,super,1.0
356,4,9,basic,0.9875
356,4,9,sub,0.8375
356,4,10,super,1.0
356,4,10,basic,0.9875
356,4,10,sub,0.8375
