subject,stimulus_id,error_count,cat
0,Stim4,0,A
0,Stim7,0,A
0,Stim15,1,A
0,Stim13,1,A
0,Stim5,1,A
0,Stim12,1,B
0,Stim2,1,B
0,Stim14,0,B
0,Stim10,1,B
1,Stim4,0,A
1,Stim7,0,A
1,Stim15,0,A
1,Stim13,1,A
1,Stim5,1,A
1,Stim12,2,B
1,Stim2,2,B
1,Stim14,1,B
1,Stim10,0,B
2,Stim4,0,A
2,Stim7,1,A
2,Stim15,0,A
2,Stim13,1,A
2,Stim5,1,A
2,Stim12,1,B
2,Stim2,1,B
2,Stim14,1,B
2,Stim10,1,B
3,Stim4,0,A
3,Stim7,0,A
3,Stim15,0,A
3,Stim13,0,A
3,Stim5,1,A
3,Stim12,2,B
3,Stim2,2,B
3,Stim14,1,B
3,Stim10,1,B
4,Stim4,0,A
4,Stim7,1,A
4,Stim15,0,A
4,Stim13,1,A
4,Stim5,1,A
4,Stim12,1,B
4,Stim2,3,B
4,Stim14,0,B
4,Stim10,0,B
5,Stim4,0,A
5,Stim7,1,A
5,Stim15,0,A
5,Stim13,0,A
5,Stim5,0,A
5,Stim12,2,B
5,Stim2,1,B
5,Stim14,1,B
5,Stim10,0,B
6,Stim4,0,A
6,Stim7,0,A
6,Stim15,1,A
6,Stim13,1,A
6,Stim5,1,A
6,Stim12,2,B
6,Stim2,3,B
6,Stim14,1,B
6,Stim10,1,B
7,Stim4,0,A
7,Stim7,1,A
7,Stim15,0,A
7,Stim13,1,A
7,Stim5,1,A
7,Stim12,0,B
7,Stim2,1,B
7,Stim14,1,B
7,Stim10,0,B
8,Stim4,1,A
8,Stim7,0,A
8,Stim15,0,A
8,Stim13,1,A
8,Stim5,1,A
8,Stim12,1,B
8,Stim2,1,B
8,Stim14,0,B
8,Stim10,0,B
9,Stim4,1,A
9,Stim7,1,A
9,Stim15,0,A
9,Stim13,1,A
9,Stim5,1,A
9,Stim12,2,B
9,Stim2,1,B
9,Stim14,0,B
9,Stim10,0,B
10,Stim4,0,A
10,Stim7,0,A
10,Stim15,0,A
10,Stim13,1,A
10,Stim5,0,A
10,Stim12,1,B
10,Stim2,2,B
10,Stim14,1,B
10,Stim10,1,B
11,Stim4,0,A
11,Stim7,1,A
11,Stim15,1,A
11,Stim13,1,A
11,Stim5,1,A
11,Stim12,2,B
11,Stim2,1,B
11,Stim14,0,B
11,Stim10,0,B
12,Stim4,1,A
12,Stim7,0,A
12,Stim15,1,A
12,Stim13,0,A
12,Stim5,0,A
12,Stim12,3,B
12,Stim2,2,B
12,Stim14,1,B
12,Stim10,0,B
13,Stim4,0,A
13,Stim7,1,A
13,Stim15,0,A
13,Stim13,1,A
13,Stim5,0,A
13,Stim12,1,B
13,Stim2,2,B
13,Stim14,0,B
13,Stim10,0,B
14,Stim4,1,A
14,Stim7,0,A
14,Stim15,0,A
14,Stim13,0,A
14,Stim5,0,A
14,Stim12,1,B
14,Stim2,2,B
14,Stim14,1,B
14,Stim10,1,B
15,Stim4,0,A
15,Stim7,1,A
15,Stim15,0,A
15,Stim13,1,A
15,Stim5,0,A
15,Stim12,3,B
15,Stim2,2,B
15,Stim14,1,B
15,Stim10,0,B
16,Stim4,1,A
16,Stim7,0,A
16,Stim15,1,A
16,Stim13,0,A
16,Stim5,1,A
16,Stim12,1,B
16,Stim2,0,B
16,Stim14,0,B
16,Stim10,0,B
17,Stim4,0,A
17,Stim7,0,A
17,Stim15,1,A
17,Stim13,0,A
17,Stim5,0,A
17,Stim12,1,B
17,Stim2,1,B
17,Stim14,1,B
17,Stim10,1,B
18,Stim4,0,A
18,Stim7,0,A
18,Stim15,1,A
18,Stim13,1,A
18,Stim5,1,A
18,Stim12,2,B
18,Stim2,2,B
18,Stim14,0,B
18,Stim10,0,B
19,Stim4,0,A
19,Stim7,1,A
19,Stim15,0,A
19,Stim13,1,A
19,Stim5,1,A
19,Stim12,2,B
19,Stim2,1,B
19,Stim14,0,B
19,Stim10,1,B
20,Stim4,0,A
20,Stim7,1,A
20,Stim15,0,A
20,Stim13,0,A
20,Stim5,0,A
20,Stim12,2,B
20,Stim2,2,B
20,Stim14,1,B
20,Stim10,0,B
21,Stim4,1,A
21,Stim7,0,A
21,Stim15,1,A
21,Stim13,1,A
21,Stim5,0,A
21,Stim12,1,B
21,Stim2,2,B
21,Stim14,1,B
21,Stim10,0,B
22,Stim4,0,A
22,Stim7,1,A
22,Stim15,0,A
22,Stim13,1,A
22,Stim5,1,A
22,Stim12,1,B
22,Stim2,2,B
22,Stim14,0,B
22,Stim10,1,B
23,Stim4,1,A
23,Stim7,1,A
23,Stim15,0,A
23,Stim13,0,A
23,Stim5,0,A
23,Stim12,1,B
23,Stim2,1,B
23,Stim14,1,B
23,Stim10,0,B
24,Stim4,1,A
24,Stim7,0,A
24,Stim15,0,A
24,Stim13,0,A
24,Stim5,1,A
24,Stim12,2,B
24,Stim2,1,B
24,Stim14,0,B
24,Stim10,1,B
25,Stim4,1,A
25,Stim7,1,A
25,Stim15,0,A
25,Stim13,1,A
25,Stim5,0,A
25,Stim12,2,B
25,Stim2,2,B
25,Stim14,1,B
25,Stim10,0,B
26,Stim4,0,A
26,Stim7,0,A
26,Stim15,1,A
26,Stim13,0,A
26,Stim5,0,A
26,Stim12,1,B
26,Stim2,1,B
26,Stim14,1,B
26,Stim10,1,B
27,Stim4,0,A
27,Stim7,1,A
27,Stim15,1,A
27,Stim13,1,A
27,Stim5,0,A
27,Stim12,2,B
27,Stim2,1,B
27,Stim14,1,B
27,Stim10,1,B
28,Stim4,0,A
28,Stim7,0,A
28,Stim15,1,A
28,Stim13,1,A
28,Stim5,1,A
28,Stim12,0,B
28,Stim2,2,B
28,Stim14,1,B
28,Stim10,1,B
29,Stim4,1,A
29,Stim7,1,A
29,Stim15,0,A
29,Stim13,1,A
29,Stim5,1,A
29,Stim12,1,B
29,Stim2,2,B
29,Stim14,0,B
29,Stim10,0,B
30,Stim4,1,A
30,Stim7,0,A
30,Stim15,1,A
30,Stim13,0,A
30,Stim5,0,A
30,Stim12,2,B
30,Stim2,1,B
30,Stim14,1,B
30,Stim10,0,B
31,Stim4,0,A
31,Stim7,0,A
31,Stim15,0,A
31,Stim13,1,A
31,Stim5,0,A
31,Stim12,1,B
31,Stim2,2,B
31,Stim14,1,B
31,Stim10,1,B
