structure,seed,epoch,block,accuracy,pred_share_B
uncorrelated,12345,1,1,1.0,0.5
uncorrelated,12345,1,2,1.0,0.5
uncorrelated,12345,1,3,1.0,0.5
uncorrelated,12345,1,4,1.0,0.5
uncorrelated,12345,1,5,1.0,0.5
uncorrelated,12345,1,6,1.0,0.5
uncorrelated,12345,1,7,1.0,0.5
uncorrelated,12345,1,8,1.0,0.5
uncorrelated,12345,1,9,1.0,0.5
uncorrelated,12345,1,10,1.0,0.5
uncorrelated,12345,1,11,1.0,0.5
uncorrelated,12345,1,12,1.0,0.5
uncorrelated,12345,1,13,1.0,0.5
uncorrelated,12345,1,14,1.0,0.5
uncorrelated,12345,1,15,1.0,0.5
uncorrelated,12345,2,1,1.0,0.4947851850395051
uncorrelated,12345,2,2,1.0,0.508530962936548
uncorrelated,12345,2,3,1.0,0.5046817866749305
uncorrelated,12345,2,4,1.0,0.5023703517846771
uncorrelated,12345,2,5,1.0,0.5008431644601365
uncorrelated,12345,2,6,1.0,0.4997621054837894
uncorrelated,12345,2,7,1.0,0.4989575534929769
uncorrelated,12345,2,8,1.0,0.49833581069532007
uncorrelated,12345,2,9,1.0,0.4978410829793664
uncorrelated,12345,2,10,1.0,0.4974381304741897
uncorrelated,12345,2,11,1.0,0.4971036232562066
uncorrelated,12345,2,12,1.0,0.49682150988822327
uncorrelated,12345,2,13,1.0,0.4965803874647625
uncorrelated,12345,2,14,1.0,0.496371934728965
uncorrelated,12345,2,15,1.0,0.4961899386649682
uncorrelated,12345,3,1,1.0,0.4983172545668792
uncorrelated,12345,3,2,1.0,0.49559214909459737
uncorrelated,12345,3,3,1.0,0.4948242369084349
uncorrelated,12345,3,4,1.0,0.4944691486051157
uncorrelated,12345,3,5,1.0,0.49426501974550185
uncorrelated,12345,3,6,1.0,0.4941324763110432
uncorrelated,12345,3,7,1.0,0.49403945851559894
uncorrelated,12345,3,8,1.0,0.4939705642390526
uncorrelated,12345,3,9,1.0,0.49391747583511647
uncorrelated,12345,3,10,1.0,0.4938753080152183
uncorrelated,12345,3,11,1.0,0.49384100156060406
uncorrelated,12345,3,12,1.0,0.49381254336483316
uncorrelated,12345,3,13,1.0,0.4937885538543574
uncorrelated,12345,3,14,1.0,0.49376805613167585
uncorrelated,12345,3,15,1.0,0.49375033892108466
uncorrelated,12345,4,1,1.0,0.5
uncorrelated,12345,4,2,1.0,0.5
uncorrelated,12345,4,3,1.0,0.5
uncorrelated,12345,4,4,1.0,0.5
uncorrelated,12345,4,5,1.0,0.5
uncorrelated,12345,4,6,1.0,0.5
uncorrelated,12345,4,7,1.0,0.5
uncorrelated,12345,4,8,1.0,0.5
uncorrelated,12345,4,9,1.0,0.5
uncorrelated,12345,4,10,1.0,0.5
uncorrelated,12345,4,11,1.0,0.5
uncorrelated,12345,4,12,1.0,0.5
uncorrelated,12345,4,13,1.0,0.5
uncorrelated,12345,4,14,1.0,0.5
uncorrelated,12345,4,15,1.0,0.5
uncorrelated,12376,1,1,1.0,0.5
uncorrelated,12376,1,2,1.0,0.5
uncorrelated,12376,1,3,1.0,0.5
uncorrelated,12376,1,4,1.0,0.5
uncorrelated,12376,1,5,1.0,0.5
uncorrelated,12376,1,6,1.0,0.5
uncorrelated,12376,1,7,1.0,0.5
uncorrelated,12376,1,8,1.0,0.5
uncorrelated,12376,1,9,1.0,0.5
uncorrelated,12376,1,10,1.0,0.5
uncorrelated,12376,1,11,1.0,0.5
uncorrelated,12376,1,12,1.0,0.5
uncorrelated,12376,1,13,1.0,0.5
uncorrelated,12376,1,14,1.0,0.5
uncorrelated,12376,1,15,1.0,0.5
uncorrelated,12376,2,1,1.0,0.5
uncorrelated,12376,2,2,1.0,0.5
uncorrelated,12376,2,3,1.0,0.5
uncorrelated,12376,2,4,1.0,0.5
uncorrelated,12376,2,5,1.0,0.5
uncorrelated,12376,2,6,1.0,0.5
uncorrelated,12376,2,7,1.0,0.5
uncorrelated,12376,2,8,1.0,0.5
uncorrelated,12376,2,9,1.0,0.5
uncorrelated,12376,2,10,1.0,0.5
uncorrelated,12376,2,11,1.0,0.5
uncorrelated,12376,2,12,1.0,0.5
uncorrelated,12376,2,13,1.0,0.5
uncorrelated,12376,2,14,1.0,0.5
uncorrelated,12376,2,15,1.0,0.5
uncorrelated,12376,3,1,1.0,0.5
uncorrelated,12376,3,2,1.0,0.5
uncorrelated,12376,3,3,1.0,0.5
uncorrelated,12376,3,4,1.0,0.5
uncorrelated,12376,3,5,1.0,0.5
uncorrelated,12376,3,6,1.0,0.5
uncorrelated,12376,3,7,1.0,0.5
uncorrelated,12376,3,8,1.0,0.5
uncorrelated,12376,3,9,1.0,0.5
uncorrelated,12376,3,10,1.0,0.5
uncorrelated,12376,3,11,1.0,0.5
uncorrelated,12376,3,12,1.0,0.5
uncorrelated,12376,3,13,1.0,0.5
uncorrelated,12376,3,14,1.0,0.5
uncorrelated,12376,3,15,1.0,0.5
uncorrelated,12376,4,1,1.0,0.5
uncorrelated,12376,4,2,1.0,0.5
uncorrelated,12376,4,3,1.0,0.5
uncorrelated,12376,4,4,1.0,0.5
uncorrelated,12376,4,5,1.0,0.5
uncorrelated,12376,4,6,1.0,0.5
uncorrelated,12376,4,7,1.0,0.5
uncorrelated,12376,4,8,1.0,0.5
uncorrelated,12376,4,9,1.0,0.5
uncorrelated,12376,4,10,1.0,0.5
uncorrelated,12376,4,11,1.0,0.5
uncorrelated,12376,4,12,1.0,0.5
uncorrelated,12376,4,13,1.0,0.5
uncorrelated,12376,4,14,1.0,0.5
uncorrelated,12376,4,15,1.0,0.5
uncorrelated,12407,1,1,1.0,0.49405572610814696
uncorrelated,12407,1,2,1.0,0.49786431912235746
uncorrelated,12407,1,3,1.0,0.5002405534747785
uncorrelated,12407,1,4,1.0,0.5015982521986064
uncorrelated,12407,1,5,1.0,0.5024735098112748
uncorrelated,12407,1,6,1.0,0.5030839470741435
uncorrelated,12407,1,7,1.0,0.5035337302856467
uncorrelated,12407,1,8,1.0,0.5038788159798981
uncorrelated,12407,1,9,1.0,0.5041519117924506
uncorrelated,12407,1,10,1.0,0.5043733981385347
uncorrelated,12407,1,11,1.0,0.5045566310925346
uncorrelated,12407,1,12,1.0,0.5047107277516341
uncorrelated,12407,1,13,1.0,0.5048421230223622
uncorrelated,12407,1,14,1.0,0.5049554862947626
uncorrelated,12407,1,15,1.0,0.5050542911386711
uncorrelated,12407,2,1,1.0,0.5
uncorrelated,12407,2,2,1.0,0.5
uncorrelated,12407,2,3,1.0,0.5
uncorrelated,12407,2,4,1.0,0.5
uncorrelated,12407,2,5,1.0,0.5
uncorrelated,12407,2,6,1.0,0.5
uncorrelated,12407,2,7,1.0,0.5
uncorrelated,12407,2,8,1.0,0.5
uncorrelated,12407,2,9,1.0,0.5
uncorrelated,12407,2,10,1.0,0.5
uncorrelated,12407,2,11,1.0,0.5
uncorrelated,12407,2,12,1.0,0.5
uncorrelated,12407,2,13,1.0,0.5
uncorrelated,12407,2,14,1.0,0.5
uncorrelated,12407,2,15,1.0,0.5
uncorrelated,12407,3,1,1.0,0.5
uncorrelated,12407,3,2,1.0,0.5
uncorrelated,12407,3,3,1.0,0.5
uncorrelated,12407,3,4,1.0,0.5
uncorrelated,12407,3,5,1.0,0.5
uncorrelated,12407,3,6,1.0,0.5
uncorrelated,12407,3,7,1.0,0.5
uncorrelated,12407,3,8,1.0,0.5
uncorrelated,12407,3,9,1.0,0.5
uncorrelated,12407,3,10,1.0,0.5
uncorrelated,12407,3,11,1.0,0.5
uncorrelated,12407,3,12,1.0,0.5
uncorrelated,12407,3,13,1.0,0.5
uncorrelated,12407,3,14,1.0,0.5
uncorrelated,12407,3,15,1.0,0.5
uncorrelated,12407,4,1,1.0,0.5
uncorrelated,12407,4,2,1.0,0.5
uncorrelated,12407,4,3,1.0,0.5
uncorrelated,12407,4,4,1.0,0.5
uncorrelated,12407,4,5,1.0,0.5
uncorrelated,12407,4,6,1.0,0.5
uncorrelated,12407,4,7,1.0,0.5
uncorrelated,12407,4,8,1.0,0.5
uncorrelated,12407,4,9,1.0,0.5
uncorrelated,12407,4,10,1.0,0.5
uncorrelated,12407,4,11,1.0,0.5
uncorrelated,12407,4,12,1.0,0.5
uncorrelated,12407,4,13,1.0,0.5
uncorrelated,12407,4,14,1.0,0.5
uncorrelated,12407,4,15,1.0,0.5
uncorrelated,12438,1,1,1.0,0.5
uncorrelated,12438,1,2,1.0,0.5
uncorrelated,12438,1,3,1.0,0.5
uncorrelated,12438,1,4,1.0,0.5
uncorrelated,12438,1,5,1.0,0.5
uncorrelated,12438,1,6,1.0,0.5
uncorrelated,12438,1,7,1.0,0.5
uncorrelated,12438,1,8,1.0,0.5
uncorrelated,12438,1,9,1.0,0.5
uncorrelated,12438,1,10,1.0,0.5
uncorrelated,12438,1,11,1.0,0.5
uncorrelated,12438,1,12,1.0,0.5
uncorrelated,12438,1,13,1.0,0.5
uncorrelated,12438,1,14,1.0,0.5
uncorrelated,12438,1,15,1.0,0.5
uncorrelated,12438,2,1,1.0,0.5
uncorrelated,12438,2,2,1.0,0.5
uncorrelated,12438,2,3,1.0,0.5
uncorrelated,12438,2,4,1.0,0.5
uncorrelated,12438,2,5,1.0,0.5
uncorrelated,12438,2,6,1.0,0.5
uncorrelated,12438,2,7,1.0,0.5
uncorrelated,12438,2,8,1.0,0.5
uncorrelated,12438,2,9,1.0,0.5
uncorrelated,12438,2,10,1.0,0.5
uncorrelated,12438,2,11,1.0,0.5
uncorrelated,12438,2,12,1.0,0.5
uncorrelated,12438,2,13,1.0,0.5
uncorrelated,12438,2,14,1.0,0.5
uncorrelated,12438,2,15,1.0,0.5
uncorrelated,12438,3,1,1.0,0.5
uncorrelated,12438,3,2,1.0,0.5
uncorrelated,12438,3,3,1.0,0.5
uncorrelated,12438,3,4,1.0,0.5
uncorrelated,12438,3,5,1.0,0.5
uncorrelated,12438,3,6,1.0,0.5
uncorrelated,12438,3,7,1.0,0.5
uncorrelated,12438,3,8,1.0,0.5
uncorrelated,12438,3,9,1.0,0.5
uncorrelated,12438,3,10,1.0,0.5
uncorrelated,12438,3,11,1.0,0.5
uncorrelated,12438,3,12,1.0,0.5
uncorrelated,12438,3,13,1.0,0.5
uncorrelated,12438,3,14,1.0,0.5
uncorrelated,12438,3,15,1.0,0.5
uncorrelated,12438,4,1,1.0,0.5
uncorrelated,12438,4,2,1.0,0.5
uncorrelated,12438,4,3,1.0,0.5
uncorrelated,12438,4,4,1.0,0.5
uncorrelated,12438,4,5,1.0,0.5
uncorrelated,12438,4,6,1.0,0.5
uncorrelated,12438,4,7,1.0,0.5
uncorrelated,12438,4,8,1.0,0.5
uncorrelated,12438,4,9,1.0,0.5
uncorrelated,12438,4,10,1.0,0.5
uncorrelated,12438,4,11,1.0,0.5
uncorrelated,12438,4,12,1.0,0.5
uncorrelated,12438,4,13,1.0,0.5
uncorrelated,12438,4,14,1.0,0.5
uncorrelated,12438,4,15,1.0,0.5
uncorrelated,12469,1,1,1.0,0.5
uncorrelated,12469,1,2,1.0,0.5
uncorrelated,12469,1,3,1.0,0.5
uncorrelated,12469,1,4,1.0,0.5
uncorrelated,12469,1,5,1.0,0.5
uncorrelated,12469,1,6,1.0,0.5
uncorrelated,12469,1,7,1.0,0.5
uncorrelated,12469,1,8,1.0,0.5
uncorrelated,12469,1,9,1.0,0.5
uncorrelated,12469,1,10,1.0,0.5
uncorrelated,12469,1,11,1.0,0.5
uncorrelated,12469,1,12,1.0,0.5
uncorrelated,12469,1,13,1.0,0.5
uncorrelated,12469,1,14,1.0,0.5
uncorrelated,12469,1,15,1.0,0.5
uncorrelated,12469,2,1,1.0,0.5
uncorrelated,12469,2,2,1.0,0.5
uncorrelated,12469,2,3,1.0,0.5
uncorrelated,12469,2,4,1.0,0.5
uncorrelated,12469,2,5,1.0,0.5
uncorrelated,12469,2,6,1.0,0.5
uncorrelated,12469,2,7,1.0,0.5
uncorrelated,12469,2,8,1.0,0.5
uncorrelated,12469,2,9,1.0,0.5
uncorrelated,12469,2,10,1.0,0.5
uncorrelated,12469,2,11,1.0,0.5
uncorrelated,12469,2,12,1.0,0.5
uncorrelated,12469,2,13,1.0,0.5
uncorrelated,12469,2,14,1.0,0.5
uncorrelated,12469,2,15,1.0,0.5
uncorrelated,12469,3,1,1.0,0.5
uncorrelated,12469,3,2,1.0,0.5
uncorrelated,12469,3,3,1.0,0.5
uncorrelated,12469,3,4,1.0,0.5
uncorrelated,12469,3,5,1.0,0.5
uncorrelated,12469,3,6,1.0,0.5
uncorrelated,12469,3,7,1.0,0.5
uncorrelated,12469,3,8,1.0,0.5
uncorrelated,12469,3,9,1.0,0.5
uncorrelated,12469,3,10,1.0,0.5
uncorrelated,12469,3,11,1.0,0.5
uncorrelated,12469,3,12,1.0,0.5
uncorrelated,12469,3,13,1.0,0.5
uncorrelated,12469,3,14,1.0,0.5
uncorrelated,12469,3,15,1.0,0.5
uncorrelated,12469,4,1,1.0,0.5
uncorrelated,12469,4,2,1.0,0.5
uncorrelated,12469,4,3,1.0,0.5
uncorrelated,12469,4,4,1.0,0.5
uncorrelated,12469,4,5,1.0,0.5
uncorrelated,12469,4,6,1.0,0.5
uncorrelated,12469,4,7,1.0,0.5
uncorrelated,12469,4,8,1.0,0.5
uncorrelated,12469,4,9,1.0,0.5
uncorrelated,12469,4,10,1.0,0.5
uncorrelated,12469,4,11,1.0,0.5
uncorrelated,12469,4,12,1.0,0.5
uncorrelated,12469,4,13,1.0,0.5
uncorrelated,12469,4,14,1.0,0.5
uncorrelated,12469,4,15,1.0,0.5
correlated,12345,1,1,1.0,0.5
correlated,12345,1,2,1.0,0.5
correlated,12345,1,3,1.0,0.5
correlated,12345,1,4,1.0,0.5
correlated,12345,1,5,1.0,0.5
correlated,12345,1,6,1.0,0.5
correlated,12345,1,7,1.0,0.49999999999999994
correlated,12345,1,8,1.0,0.5
correlated,12345,1,9,1.0,0.5
correlated,12345,1,10,1.0,0.5
correlated,12345,1,11,1.0,0.5
correlated,12345,1,12,1.0,0.5
correlated,12345,1,13,1.0,0.49999999999999994
correlated,12345,1,14,1.0,0.5
correlated,12345,1,15,1.0,0.5
correlated,12345,2,1,1.0,0.5
correlated,12345,2,2,1.0,0.5
correlated,12345,2,3,1.0,0.5
correlated,12345,2,4,1.0,0.5
correlated,12345,2,5,1.0,0.5
correlated,12345,2,6,1.0,0.5
correlated,12345,2,7,1.0,0.49999999999999994
correlated,12345,2,8,1.0,0.5
correlated,12345,2,9,1.0,0.5
correlated,12345,2,10,1.0,0.5
correlated,12345,2,11,1.0,0.5
correlated,12345,2,12,1.0,0.5
correlated,12345,2,13,1.0,0.49999999999999994
correlated,12345,2,14,1.0,0.5
correlated,12345,2,15,1.0,0.5
correlated,12345,3,1,1.0,0.5
correlated,12345,3,2,1.0,0.5
correlated,12345,3,3,1.0,0.5
correlated,12345,3,4,1.0,0.5
correlated,12345,3,5,1.0,0.5
correlated,12345,3,6,1.0,0.5
correlated,12345,3,7,1.0,0.49999999999999994
correlated,12345,3,8,1.0,0.5
correlated,12345,3,9,1.0,0.5
correlated,12345,3,10,1.0,0.5
correlated,12345,3,11,1.0,0.5
correlated,12345,3,12,1.0,0.5
correlated,12345,3,13,1.0,0.49999999999999994
correlated,12345,3,14,1.0,0.5
correlated,12345,3,15,1.0,0.5
correlated,12345,4,1,1.0,0.5
correlated,12345,4,2,1.0,0.5
correlated,12345,4,3,1.0,0.5
correlated,12345,4,4,1.0,0.5
correlated,12345,4,5,1.0,0.5
correlated,12345,4,6,1.0,0.5
correlated,12345,4,7,1.0,0.49999999999999994
correlated,12345,4,8,1.0,0.5
correlated,12345,4,9,1.0,0.5
correlated,12345,4,10,1.0,0.5
correlated,12345,4,11,1.0,0.5
correlated,12345,4,12,1.0,0.5
correlated,12345,4,13,1.0,0.49999999999999994
correlated,12345,4,14,1.0,0.5
correlated,12345,4,15,1.0,0.5
correlated,12376,1,1,1.0,0.5
correlated,12376,1,2,1.0,0.5
correlated,12376,1,3,1.0,0.5
correlated,12376,1,4,1.0,0.5
correlated,12376,1,5,1.0,0.5
correlated,12376,1,6,1.0,0.5
correlated,12376,1,7,1.0,0.49999999999999994
correlated,12376,1,8,1.0,0.5
correlated,12376,1,9,1.0,0.5
correlated,12376,1,10,1.0,0.5
correlated,12376,1,11,1.0,0.5
correlated,12376,1,12,1.0,0.5
correlated,12376,1,13,1.0,0.49999999999999994
correlated,12376,1,14,1.0,0.5
correlated,12376,1,15,1.0,0.5
correlated,12376,2,1,1.0,0.5
correlated,12376,2,2,1.0,0.5
correlated,12376,2,3,1.0,0.5
correlated,12376,2,4,1.0,0.5
correlated,12376,2,5,1.0,0.5
correlated,12376,2,6,1.0,0.5
correlated,12376,2,7,1.0,0.49999999999999994
correlated,12376,2,8,1.0,0.5
correlated,12376,2,9,1.0,0.5
correlated,12376,2,10,1.0,0.5
correlated,12376,2,11,1.0,0.5
correlated,12376,2,12,1.0,0.5
correlated,12376,2,13,1.0,0.49999999999999994
correlated,12376,2,14,1.0,0.5
correlated,12376,2,15,1.0,0.5
correlated,12376,3,1,1.0,0.5
correlated,12376,3,2,1.0,0.5
correlated,12376,3,3,1.0,0.5
correlated,12376,3,4,1.0,0.5
correlated,12376,3,5,1.0,0.5
correlated,12376,3,6,1.0,0.5
correlated,12376,3,7,1.0,0.49999999999999994
correlated,12376,3,8,1.0,0.5
correlated,12376,3,9,1.0,0.5
correlated,12376,3,10,1.0,0.5
correlated,12376,3,11,1.0,0.5
correlated,12376,3,12,1.0,0.5
correlated,12376,3,13,1.0,0.49999999999999994
correlated,12376,3,14,1.0,0.5
correlated,12376,3,15,1.0,0.5
correlated,12376,4,1,1.0,0.5
correlated,12376,4,2,1.0,0.5
correlated,12376,4,3,1.0,0.5
correlated,12376,4,4,1.0,0.5
correlated,12376,4,5,1.0,0.5
correlated,12376,4,6,1.0,0.5
correlated,12376,4,7,1.0,0.49999999999999994
correlated,12376,4,8,1.0,0.5
correlated,12376,4,9,1.0,0.5
correlated,12376,4,10,1.0,0.5
correlated,12376,4,11,1.0,0.5
correlated,12376,4,12,1.0,0.5
correlated,12376,4,13,1.0,0.49999999999999994
correlated,12376,4,14,1.0,0.5
correlated,12376,4,15,1.0,0.5
correlated,12407,1,1,1.0,0.5
correlated,12407,1,2,1.0,0.5
correlated,12407,1,3,1.0,0.5
correlated,12407,1,4,1.0,0.5
correlated,12407,1,5,1.0,0.5
correlated,12407,1,6,1.0,0.5
correlated,12407,1,7,1.0,0.49999999999999994
correlated,12407,1,8,1.0,0.5
correlated,12407,1,9,1.0,0.5
correlated,12407,1,10,1.0,0.5
correlated,12407,1,11,1.0,0.5
correlated,12407,1,12,1.0,0.5
correlated,12407,1,13,1.0,0.49999999999999994
correlated,12407,1,14,1.0,0.5
correlated,12407,1,15,1.0,0.5
correlated,12407,2,1,1.0,0.5
correlated,12407,2,2,1.0,0.5
correlated,12407,2,3,1.0,0.5
correlated,12407,2,4,1.0,0.5
correlated,12407,2,5,1.0,0.5
correlated,12407,2,6,1.0,0.5
correlated,12407,2,7,1.0,0.49999999999999994
correlated,12407,2,8,1.0,0.5
correlated,12407,2,9,1.0,0.5
correlated,12407,2,10,1.0,0.5
correlated,12407,2,11,1.0,0.5
correlated,12407,2,12,1.0,0.5
correlated,12407,2,13,1.0,0.49999999999999994
correlated,12407,2,14,1.0,0.5
correlated,12407,2,15,1.0,0.5
correlated,12407,3,1,1.0,0.5
correlated,12407,3,2,1.0,0.5
correlated,12407,3,3,1.0,0.5
correlated,12407,3,4,1.0,0.5
correlated,12407,3,5,1.0,0.5
correlated,12407,3,6,1.0,0.5
correlated,12407,3,7,1.0,0.49999999999999994
correlated,12407,3,8,1.0,0.5
correlated,12407,3,9,1.0,0.5
correlated,12407,3,10,1.0,0.5
correlated,12407,3,11,1.0,0.5
correlated,12407,3,12,1.0,0.5
correlated,12407,3,13,1.0,0.49999999999999994
correlated,12407,3,14,1.0,0.5
correlated,12407,3,15,1.0,0.5
correlated,12407,4,1,1.0,0.5
correlated,12407,4,2,1.0,0.5
correlated,12407,4,3,1.0,0.5
correlated,12407,4,4,1.0,0.5
correlated,12407,4,5,1.0,0.5
correlated,12407,4,6,1.0,0.5
correlated,12407,4,7,1.0,0.49999999999999994
correlated,12407,4,8,1.0,0.5
correlated,12407,4,9,1.0,0.5
correlated,12407,4,10,1.0,0.5
correlated,12407,4,11,1.0,0.5
correlated,12407,4,12,1.0,0.5
correlated,12407,4,13,1.0,0.49999999999999994
correlated,12407,4,14,1.0,0.5
correlated,12407,4,15,1.0,0.5
correlated,12438,1,1,1.0,0.5
correlated,12438,1,2,1.0,0.5
correlated,12438,1,3,1.0,0.5
correlated,12438,1,4,1.0,0.5
correlated,12438,1,5,1.0,0.5
correlated,12438,1,6,1.0,0.5
correlated,12438,1,7,1.0,0.49999999999999994
correlated,12438,1,8,1.0,0.5
correlated,12438,1,9,1.0,0.5
correlated,12438,1,10,1.0,0.5
correlated,12438,1,11,1.0,0.5
correlated,12438,1,12,1.0,0.5
correlated,12438,1,13,1.0,0.49999999999999994
correlated,12438,1,14,1.0,0.5
correlated,12438,1,15,1.0,0.5
correlated,12438,2,1,1.0,0.5
correlated,12438,2,2,1.0,0.5
correlated,12438,2,3,1.0,0.5
correlated,12438,2,4,1.0,0.5
correlated,12438,2,5,1.0,0.5
correlated,12438,2,6,1.0,0.5
correlated,12438,2,7,1.0,0.49999999999999994
correlated,12438,2,8,1.0,0.5
correlated,12438,2,9,1.0,0.5
correlated,12438,2,10,1.0,0.5
correlated,12438,2,11,1.0,0.5
correlated,12438,2,12,1.0,0.5
correlated,12438,2,13,1.0,0.49999999999999994
correlated,12438,2,14,1.0,0.5
correlated,12438,2,15,1.0,0.5
correlated,12438,3,1,1.0,0.5
correlated,12438,3,2,1.0,0.5
correlated,12438,3,3,1.0,0.5
correlated,12438,3,4,1.0,0.5
correlated,12438,3,5,1.0,0.5
correlated,12438,3,6,1.0,0.5
correlated,12438,3,7,1.0,0.49999999999999994
correlated,12438,3,8,1.0,0.5
correlated,12438,3,9,1.0,0.5
correlated,12438,3,10,1.0,0.5
correlated,12438,3,11,1.0,0.5
correlated,12438,3,12,1.0,0.5
correlated,12438,3,13,1.0,0.49999999999999994
correlated,12438,3,14,1.0,0.5
correlated,12438,3,15,1.0,0.5
correlated,12438,4,1,1.0,0.5
correlated,12438,4,2,1.0,0.5
correlated,12438,4,3,1.0,0.5
correlated,12438,4,4,1.0,0.5
correlated,12438,4,5,1.0,0.5
correlated,12438,4,6,1.0,0.5
correlated,12438,4,7,1.0,0.49999999999999994
correlated,12438,4,8,1.0,0.5
correlated,12438,4,9,1.0,0.5
correlated,12438,4,10,1.0,0.5
correlated,12438,4,11,1.0,0.5
correlated,12438,4,12,1.0,0.5
correlated,12438,4,13,1.0,0.49999999999999994
correlated,12438,4,14,1.0,0.5
correlated,12438,4,15,1.0,0.5
correlated,12469,1,1,1.0,0.5
correlated,12469,1,2,1.0,0.5
correlated,12469,1,3,1.0,0.5
correlated,12469,1,4,1.0,0.5
correlated,12469,1,5,1.0,0.5
correlated,12469,1,6,1.0,0.5
correlated,12469,1,7,1.0,0.49999999999999994
correlated,12469,1,8,1.0,0.5
correlated,12469,1,9,1.0,0.5
correlated,12469,1,10,1.0,0.5
correlated,12469,1,11,1.0,0.5
correlated,12469,1,12,1.0,0.5
correlated,12469,1,13,1.0,0.49999999999999994
correlated,12469,1,14,1.0,0.5
correlated,12469,1,15,1.0,0.5
correlated,12469,2,1,1.0,0.5
correlated,12469,2,2,1.0,0.5
correlated,12469,2,3,1.0,0.5
correlated,12469,2,4,1.0,0.5
correlated,12469,2,5,1.0,0.5
correlated,12469,2,6,1.0,0.5
correlated,12469,2,7,1.0,0.49999999999999994
correlated,12469,2,8,1.0,0.5
correlated,12469,2,9,1.0,0.5
correlated,12469,2,10,1.0,0.5
correlated,12469,2,11,1.0,0.5
correlated,12469,2,12,1.0,0.5
correlated,12469,2,13,1.0,0.49999999999999994
correlated,12469,2,14,1.0,0.5
correlated,12469,2,15,1.0,0.5
correlated,12469,3,1,1.0,0.510790079423233
correlated,12469,3,2,1.0,0.5058378383580919
correlated,12469,3,3,1.0,0.5071206487788483
correlated,12469,3,4,1.0,0.5079202666179645
correlated,12469,3,5,1.0,0.5084577089735914
correlated,12469,3,6,1.0,0.5088418791264201
correlated,12469,3,7,1.0,0.5091295850200276
correlated,12469,3,8,1.0,0.5093528884523604
correlated,12469,3,9,1.0,0.5095311417225564
correlated,12469,3,10,1.0,0.5096766822531058
correlated,12469,3,11,1.0,0.5097977339149548
correlated,12469,3,12,1.0,0.5098999841968023
correlated,12469,3,13,1.0,0.5099874896094377
correlated,12469,3,14,1.0,0.510063220115052
correlated,12469,3,15,1.0,0.5101293993711538
correlated,12469,4,1,1.0,0.5
correlated,12469,4,2,1.0,0.5
correlated,12469,4,3,1.0,0.5
correlated,12469,4,4,1.0,0.5
correlated,12469,4,5,1.0,0.5
correlated,12469,4,6,1.0,0.5
correlated,12469,4,7,1.0,0.49999999999999994
correlated,12469,4,8,1.0,0.5
correlated,12469,4,9,1.0,0.5
correlated,12469,4,10,1.0,0.5
correlated,12469,4,11,1.0,0.5
correlated,12469,4,12,1.0,0.5
correlated,12469,4,13,1.0,0.49999999999999994
correlated,12469,4,14,1.0,0.5
correlated,12469,4,15,1.0,0.5
