block,type1,type2,type3,type4,type5,type6,all_type
1,64.4,49.7,52.9,47.9,48.1,42.6,50.9
3,94.1,68.1,63.8,62.5,60.4,56.9,67.6
5,92.6,74.7,69.4,66.2,64.1,59.8,71.1
7,96.5,77.4,74.2,67.6,68.6,67.3,75.3
9,95.7,83.2,76.9,71.8,73.9,67.0,78.1
11,98.1,82.4,80.9,77.7,80.3,69.4,81.5
13,95.5,84.8,80.9,77.1,83.0,69.7,81.8
15,96.5,85.4,80.1,81.1,81.6,70.7,82.6
17,98.7,86.7,85.6,76.3,84.0,71.8,83.9
19,98.9,86.7,83,83.8,84.0,72.9,84.9
21,97.6,89.9,84,83.8,84.6,75.3,85.9
23,96.8,85.6,84,85.4,85.1,73.4,85.1
all,94.6,80.3,77.1,74.7,75.3,67.1,78.2